,name,wdpa_id,mpa_id,date,calculated_marine_area,reported_marine_area,geography_area,mmsi,in_pre,out_pre,in_post,out_post,in_pre_p,in_post_p,decrease
61,Nazca-Desventuradas,555624169,9175,2015-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Mandzenika,0,68817247,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Russian Arctic (Franz Josef Land),0,9049,2016-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Marmion - Waterman Recreational Area,555576595,68808876,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Akaroa,0,9231,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Cape Falcon,0,9204,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Low Bay Sanctuary,0,9393,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Stellar Sea Lion,555655703,68817275,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Ponte Cais,0,68817253,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Gascoyne - Multiple Use Zone,555556879,14991,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Eastern Recherche - Special Purpose Zone,555556877,14989,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Namuncurá - Banco Burdwood [Transition Zone],555558346,9689,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Moutere Ihupuku / Campbell Island,555566859,15144,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Guidzvane,0,68817251,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Medvezh`i ostrova,555708108,68819267,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Mangrove and Alhafeya Protected Area in Khor Kalba,555558373,68812213,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ningaloo,555556894,15006,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Vostok Finskogo zaliva (Ingermanlandskij),555711347,68819294,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Two Foot Bay Sanctuary,555587198,68812527,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
